Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
423,Tymoteusz Puchacz,"DF,MF",pl Poland,25,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
424,George Pușcaș,FW,ro Romania,27,1996,2,40,20,11.1,0.4,0,,0,2,20,2,2.00,0,0,0,0.00,+0.56,0.0,0.4,-0.4,-0.89,-0.26,Matches
425,Leopold Querfeld,DF,at Austria,20,2003,1,27,27,7.5,0.3,0,,0,1,27,3,3.00,1,1,0,0.00,-0.27,0.1,0.2,-0.1,-0.24,-0.44,Matches
426,Adrien Rabiot,MF,fr France,28,1995,5,371,74,65.1,4.1,5,74,2,0,,0,1.60,4,2,+2,+0.49,+0.94,7.0,2.4,+4.7,+1.13,+1.54,Matches
427,Bogdan Racovitan,DF,ro Romania,23,2000,2,57,29,15.8,0.6,0,,0,2,29,2,1.50,0,2,-2,-3.16,-3.16,0.1,2.5,-2.4,-3.77,-3.69,Matches
428,Predrag Rajković,GK,rs Serbia,28,1995,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,1,2,-1,-0.33,,2.1,2.6,-0.5,-0.15,,Matches
429,Anthony Ralston,DF,sct Scotland,25,1998,3,262,87,97.0,2.9,3,87,2,0,,0,0.33,2,6,-4,-1.37,+9.88,0.8,3.6,-2.8,-0.97,+6.45,Matches
430,Ylber Ramadani,MF,al Albania,27,1996,3,264,88,97.8,2.9,3,88,2,0,,0,0.33,2,5,-3,-1.02,-16.02,2.0,5.4,-3.5,-1.18,-4.89,Matches
431,Gonçalo Ramos,FW,pt Portugal,22,2001,1,25,25,4.9,0.3,0,,0,1,25,4,0.00,0,0,0,0.00,-0.37,1.2,0.1,+1.1,+4.04,+3.32,Matches
432,Aaron Ramsdale,GK,eng England,25,1998,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
433,Giacomo Raspadori,FW,it Italy,23,2000,2,83,42,23.1,0.9,1,74,0,1,9,2,0.50,0,1,-1,-1.08,-0.76,0.9,1.2,-0.3,-0.31,+0.05,Matches
434,Andrei Ratiu,DF,ro Romania,25,1998,4,359,90,99.7,4.0,4,90,3,0,,0,1.00,4,6,-2,-0.50,-0.50,3.5,6.1,-2.7,-0.67,-2.18,Matches
435,Petar Ratkov,FW,rs Serbia,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
436,David Raum,DF,de Germany,25,1998,3,166,55,34.6,1.8,2,68,0,1,30,2,1.33,3,1,+2,+1.08,-0.35,3.4,1.6,+1.8,+0.96,-0.06,Matches
437,Henrich Ravas,GK,sk Slovakia,26,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
438,David Raya,GK,es Spain,28,1995,1,90,90,13.6,1.0,1,90,1,0,,6,3.00,1,0,+1,+1.00,-0.58,1.5,0.5,+1.0,+1.02,+0.25,Matches
439,Tijjani Reijnders,MF,nl Netherlands,25,1998,6,496,83,91.9,5.5,6,83,4,0,,0,1.67,8,6,+2,+0.36,-1.68,7.7,5.6,+2.1,+0.38,+1.42,Matches
440,Álex Remiro,GK,es Spain,28,1995,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
441,Mateo Retegui,FW,it Italy,24,1999,4,152,38,42.2,1.7,1,90,1,3,21,0,1.00,1,1,0,0.00,+0.87,1.6,1.8,-0.2,-0.12,+0.40,Matches
442,Declan Rice,MF,eng England,25,1999,7,690,99,100.0,7.7,7,99,7,0,,0,1.71,8,6,+2,+0.26,,6.1,7.0,-1.0,-0.14,-0.14,Matches
443,Fabian Rieder,MF,ch Switzerland,21,2002,5,218,44,45.4,2.4,3,66,0,2,11,0,1.80,4,0,+4,+1.65,+1.65,2.8,1.4,+1.4,+0.56,+0.40,Matches
444,Tomas Rigo,MF,sk Slovakia,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
445,Andrew Robertson,DF,sct Scotland,29,1994,3,268,89,99.3,3.0,3,89,2,0,,0,0.33,2,6,-4,-1.34,+43.66,0.8,3.6,-2.8,-0.95,+28.73,Matches
446,Marek Rodák,GK,sk Slovakia,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
447,Rodri,MF,es Spain,27,1996,6,520,87,78.8,5.8,6,87,4,0,,0,3.00,12,3,+9,+1.56,+0.27,9.7,5.9,+3.8,+0.69,-0.45,Matches
448,Ricardo Rodríguez,DF,ch Switzerland,31,1992,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,+4,+0.75,,6.7,4.9,+1.8,+0.37,+0.37,Matches
449,Taras Romanchuk,MF,pl Poland,32,1991,1,54,54,20.0,0.6,1,54,0,0,,2,0.00,1,1,0,0.00,+1.25,0.2,1.2,-1.0,-1.70,-1.38,Matches
450,Cristiano Ronaldo,FW,pt Portugal,38,1985,5,485,97,95.1,5.4,5,97,4,0,,0,1.60,5,3,+2,+0.37,+0.37,8.3,4.4,+3.9,+0.82,-0.37,Matches
451,Antonio Rüdiger,DF,de Germany,30,1993,5,480,96,100.0,5.3,5,96,5,0,,0,2.00,11,4,+7,+1.31,,9.7,4.4,+5.3,+1.07,+1.07,Matches
452,Fabián Ruiz Peña,MF,es Spain,27,1996,6,540,90,81.8,6.0,6,90,3,0,,1,3.00,12,4,+8,+1.33,-0.92,9.9,5.7,+4.2,+0.70,-0.60,Matches
453,Adrian Rus,MF,ro Romania,27,1996,2,21,11,5.8,0.2,0,,0,2,11,2,2.00,0,0,0,0.00,+0.53,0.0,0.4,-0.4,-1.64,-1.03,Matches
454,Frederik Rønnow,GK,dk Denmark,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
455,José Sá,GK,pt Portugal,31,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
456,Marcel Sabitzer,"FW,MF",at Austria,29,1994,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,7,6,+1,+0.25,,6.9,6.3,+0.7,+0.17,,Matches
457,Bukayo Saka,"FW,DF",eng England,22,2001,7,632,90,91.6,7.0,7,90,3,0,,0,1.71,8,6,+2,+0.28,+0.28,5.5,6.5,-0.9,-0.14,-0.09,Matches
458,Bartosz Salamon,DF,pl Poland,32,1991,1,85,85,31.5,0.9,1,85,0,0,,2,0.00,1,2,-1,-1.06,-0.09,0.9,1.4,-0.5,-0.53,+0.10,Matches
459,William Saliba,DF,fr France,22,2001,6,570,95,100.0,6.3,6,95,6,0,,0,1.50,4,3,+1,+0.16,,9.0,5.2,+3.8,+0.63,+0.63,Matches
460,Roland Sallai,MF,hu Hungary,26,1997,3,266,89,98.5,3.0,3,89,2,0,,0,1.00,2,5,-3,-1.02,-1.02,3.4,3.8,-0.4,-0.13,-4.01,Matches
461,Lazar Samardzic,MF,rs Serbia,21,2002,2,54,27,20.0,0.6,1,45,0,1,9,1,1.00,1,0,+1,+1.67,+2.50,0.4,0.5,-0.1,-0.24,-0.11,Matches
462,Brice Samba,GK,fr France,29,1994,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
463,Leroy Sané,FW,de Germany,28,1996,5,208,42,43.3,2.3,2,66,0,3,25,0,2.00,6,1,+5,+2.16,+1.50,4.0,2.0,+2.0,+0.88,-0.22,Matches
464,Leo Sauer,FW,sk Slovakia,18,2005,1,5,5,1.3,0.1,0,,0,1,5,3,0.00,0,0,0,0.00,+0.23,0.0,0.0,0.0,+0.55,+0.88,Matches
465,Gianluca Scamacca,FW,it Italy,25,1999,4,251,63,69.7,2.8,3,78,1,1,16,0,1.00,3,4,-1,-0.36,+0.47,2.3,3.0,-0.7,-0.24,+0.36,Matches
466,András Schäfer,MF,hu Hungary,24,1999,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,2,5,-3,-1.00,,3.7,3.9,-0.2,-0.07,,Matches
467,Fabian Schär,DF,ch Switzerland,32,1991,5,480,96,100.0,5.3,5,96,5,0,,0,1.80,8,4,+4,+0.75,,6.7,4.9,+1.8,+0.37,+0.37,Matches
468,Patrik Schick,FW,cz Czechia,28,1996,2,127,64,47.0,1.4,2,64,0,0,,0,0.33,2,3,-1,-0.71,-0.08,2.8,1.9,+0.9,+0.64,+0.76,Matches
469,Nico Schlotterbeck,DF,de Germany,24,1999,2,120,60,25.0,1.3,1,90,1,1,30,2,1.33,4,2,+2,+1.50,+0.25,3.4,1.2,+2.2,+1.66,+0.88,Matches
470,Kasper Schmeichel,GK,dk Denmark,37,1986,4,360,90,100.0,4.0,4,90,4,0,,0,0.75,2,4,-2,-0.50,,4.3,4.8,-0.5,-0.12,,Matches
471,Romano Schmid,"FW,MF",at Austria,24,2000,4,145,36,40.3,1.6,2,67,0,2,6,0,1.50,3,3,0,0.00,-0.42,1.8,2.6,-0.8,-0.47,-1.06,Matches
472,Jerdy Schouten,MF,nl Netherlands,27,1997,6,500,83,92.6,5.6,6,83,4,0,,0,1.67,8,7,+1,+0.18,-4.32,6.8,6.4,+0.4,+0.08,-2.42,Matches
473,Ivan Schranz,FW,sk Slovakia,30,1993,4,331,83,84.9,3.7,4,83,0,0,,0,1.00,4,3,+1,+0.27,+3.32,3.5,5.2,-1.7,-0.47,-1.02,Matches
474,Taulant Seferi,FW,al Albania,27,1996,2,94,47,34.8,1.0,1,67,0,1,27,1,0.50,2,4,-2,-1.91,-1.91,0.7,2.9,-2.1,-2.03,-1.46,Matches
